1-0-2024
Product Name,Cost Price,Sale Price,Stock
Grocery
SUGAR,300,350,94
RICE,450,480,120
WHEAT,320,370,80
OIL,900,950,30
BREAD,50,60,10
MILK,45,55,14
SALT,20,25,5
PULSES,400,450,110
FLOUR,300,340,70
TEA,200,230,50
COFFEE,500,550,130
SPICES,150,180,30
HONEY,600,650,50
BUTTER,400,450,60
CHEESE,350,400,80
EGGS,120,150,30
YOGURT,60,70,13
CHOCOLATE,150,180,50
CEREAL,200,240,40
JUICE,100,120,30
Snacks
CHIPS,50,60,8
COOKIES,100,120,20
CAKE,400,450,60
CANDY,30,40,8
CRACKERS,90,110,15
NUTS,500,550,50
POPCORN,60,80,20
PRETZELS,70,90,25
BISCUITS,80,100,18
WAFERS,50,70,12
DRY_FRUITS,600,680,35
GRANOLA,200,250,50
ENERGY_BAR,150,200,30
MUFFINS,300,350,70
DOUGHNUTS,250,300,60
ICE_CREAM,400,500,60
CHOCOLATE_BAR,150,180,45
CANDY_BAR,80,100,20
TRAIL_MIX,350,400,0
SNACK_POUCH,120,150,25
Other Product
SHAMPOO,200,250,39
SOAP,50,70,9
TOOTHPASTE,60,80,14
HANDWASH,150,180,29
SANITIZER,100,130,25
DEODORANT,250,300,60
PERFUME,500,600,60
HAIR_OIL,180,220,40
FACE_WASH,120,150,30
BODY_LOTION,300,350,50
TISSUE,20,30,5
NAPKINS,40,60,10
CLEANER,400,450,70
DISINFECTANT,200,250,50
DETERGENT,450,500,80
FABRIC_SOFTENER,300,350,60
MOP,150,200,40
SPONGE,30,50,10
TRASH_BAGS,100,150,25
WIPES,70,100,20
Discounts
70000,70,12000
60000,60,12000
50000,50,12000
50000,50,12000
40000,40,12000
30000,30,12000
30000,30,12000
25000,25,12000
20000,20,12000
20000,20,12000
15000,15,12000
15000,15,12000
10000,10,12000
10000,10,12000
5000,5,12000
